
Article
Hauptartikelnr;Artikelname;Hersteller;Beschreibung;Materialangaben;Geschlecht;Produktart;Aermel;Bein;Kragen;Herstellung;Taschenart;Grammatur;Material;Ursprungsland;Bildname
W555
W556;Lightweight Oxford-Bluse Kurzarm;Henbury;Pflegeleicht - Klassische Oxford Bluse mit geringem Gewicht - Gleichfarbige Knöpfe;80% Baumwolle / 20% Polyester;Damen;Blusen;Kurzarm; ; ;Konventionell; ;130 g/m²;Baumwollgemisch;BD;w556.jpg
W590;Men´s Wicking Long Sleeve Shirt;Henbury;Polyester Pufy® Schweißtranportierendes Garn, Antibakterielle Ausrüstung gegen Streptokokken und Staphylokokken, UV-Sonnenschutz >50, Schnelltrocknend, Pflegeleicht, bügelleicht, Exzellente Farbbeständigkeit;100% Polyester;Herren;Hemden; ; ; ; ; ;115 g/m²; ;BD;w590.jpg
W591;Ladies Wicking Long Sleeve Shirt;Henbury;Schweißtranportierendes Polyester-Garn, Antibakterielle Ausrüstung gegen Streptokokken und Staphylokokken, UV-Sonnenschutz >50, Schnelltrocknend, Pflegeleicht, bügelleicht, Exzellente Farbbeständigkeit;100% Polyester;Damen;Blusen; ; ; ; ; ;115 g/m²; ;BD;w591.jpg
W592;Mens Mandarin Shirt Roll Tab Sleeve;Henbury;Mandarinkragen. aufrollbare Ärmel mit Lasche, Feuchtigkeitsaufnehmendes PUFY-Garn. Antibakteriell, Ausschneid-Markenetikett, Normale Passform. DTM-Knöpfe, Verstellbare Ärmelabschlüsse. Ärmelschildchen, UV-Schutzfaktor > 50, Schnelltrocknend, Pflegeleicht, Ausgezeichnete Farbbeständigkeit; ;Herren;Hemden;Langarm; ;Stehkragen; ; ; ;Polyester; ;w592.jpg
W593;Ladies Mandarin Shirt Roll Tab Sleeve;Henbury;Mandarinkragen. aufrollbare Ärmel mit Lasche, Feuchtigkeitsaufnehmendes PUFY-Garn. Antibakteriell, Ausschneid-Markenetikett, Normale Passform. DTM-Knöpfe, Verstellbare Ärmelabschlüsse, UV-Schutzfaktor > 50, Schnelltrocknend, Pflegeleicht, Ausgezeichnete Farbbeständigkeit; ;Damen;Blusen;Langarm; ;Stehkragen; ; ; ;Polyester; ;w593.jpg
W595;Men´s Wicking Short Sleeve Shirt;Henbury;Schweißtransportierendes Polyester-Garn, Antibakterielle Ausrüstung gegen Streptokokken und Staphylokokken, UV-Sonnenschutz >50, Schnelltrocknend, Pflegeleicht, bügelleicht, Exzellente Farbbeständigkeit;100% Polyester;Herren;Hemden; ; ; ; ; ;115 g/m²; ;BD;w595.jpg
W596;Ladies Wicking Short Sleeve Shirt;Henbury;Polyester Pufy® Schweißtransportierendes Garn, Ausrüstung gegen Streptokokken und Staphylokokken, UV-Sonnenschutz >50, Schnelltrocknend, Pflegeleicht, bügelleicht, Exzellente Farbbeständigkeit;100% Polyester;Damen;Blusen; ; ; ; ; ;115 g/m²; ;BD;w596.jpg
W608;Men´s Chino Trousers;Henbury;"Flache Front, lässiger Schnitt mit geradem Bein, Teflon®-Beschichtung; schmutzabweisend, Zwei Gesäßtaschen mit Klappe und Knopf, Vordertaschen, Ticket-Tasche, Gürtelschlaufen, In den Größen 30"" - 40"" erhältlich mit normalem und langem Bein, In den Größen 42"" - 44"" erhältlich nur mit ungesäumtem Bein";100% Baumwolle;Herren;Freizeithose; ; ; ; ; ;270 g/m²; ;BD;w608.jpg
W640;Men’s 65/35 Chino Trousers;Henbury;Flache Front, gerade geschnittenes Hosenbein (Straight Leg), Zwei Gesäßtaschen mit Knöpfen, Gleichfarbige Knöpfe, Gleichfarbige Innentaschen, Seitentaschen, Tickettasche, Gürtelschlaufen, In den Größen 30" - 40" erhältlich mit normalem und langem Bein, In den Größen 42" - 44" erhältlich nur mit ungesäumtem Bein (Länge 36");65% Polyester / 35% Baumwolle;Herren;Freizeithose; ; ; ; ; ;255 g/m²;Polyestergemisch;BD;w640.jpg
